Sr.no,Trial.no,ppid,Distance,Grasp.size,Base.hole,Hand,Status,Object,RT,MT_to_obj,MT_obj_to_tar,Total_MT
756,36,10,30cm,small,large,Right,done,A,590,3033,3623,6656
757,37,10,30cm,large,small,Right,done,B,436,3638,4074,7712
758,38,10,30cm,small,small,Right,done,C,437,1219,1656,2875
759,39,10,30cm,large,large,Right,done,D,634,2831,3465,6296
760,40,10,30cm,small,large,Right,done,A,378,1216,1594,2810
761,41,10,30cm,small,large,Left,done,A,638,1624,2262,3886
762,42,10,30cm,large,small,Left,done,B,342,1421,1763,3184
763,43,10,30cm,small,small,Left,done,C,615,1643,2258,3901
764,44,10,30cm,large,large,Left,done,D,409,1217,1626,2843
765,45,10,30cm,small,large,Left,done,A,600,2024,2624,4648
766,46,10,30cm,large,small,Left,done,B,654,1015,1669,2684
767,47,10,30cm,small,small,Left,done,C,452,1217,1669,2886
768,48,10,30cm,large,large,Left,done,D,584,1824,2408,4232
769,49,10,30cm,small,large,Left,done,A,758,1826,2584,4410
770,50,10,30cm,large,small,Left,done,B,553,3437,3990,7427
771,51,10,30cm,large,small,Left,done,B,463,1620,2083,3703
772,52,10,30cm,small,small,Left,done,C,422,2029,2451,4480
773,53,10,30cm,large,large,Left,done,D,481,1619,2100,3719
774,54,10,30cm,small,large,Left,done,A,483,2027,2510,4537
775,55,10,30cm,large,small,Left,done,B,769,2430,3199,5629
776,56,10,30cm,small,small,Left,done,C,581,2025,2606,4631
777,57,10,30cm,large,small,Left,done,D,587,1820,2407,4227
778,58,10,30cm,small,large,Left,done,A,659,1421,2080,3501
779,59,10,30cm,large,small,Left,done,B,653,2431,3084,5515
780,60,10,30cm,small,small,Left,done,C,483,1828,2311,4139
781,61,10,30cm,small,small,Left,done,C,465,2025,2490,4515
782,62,10,30cm,large,large,Left,done,D,432,2835,3267,6102
783,63,10,30cm,small,large,Left,done,A,420,2230,2650,4880
784,64,10,30cm,large,small,Left,done,B,468,1419,1887,3306
785,65,10,30cm,small,small,Left,done,C,384,2429,2813,5242
786,66,10,30cm,large,large,Left,done,D,425,2026,2451,4477
787,67,10,30cm,small,large,Left,done,A,474,1420,1894,3314
788,68,10,30cm,large,small,Left,done,B,654,1015,1669,2684
789,69,10,30cm,small,small,Left,done,C,465,2425,2890,5315
790,70,10,30cm,large,large,Left,done,D,893,3441,4334,7775
791,71,10,30cm,large,large,Left,done,D,476,1823,2299,4122
792,72,10,30cm,small,large,Left,done,A,749,1418,2167,3585
793,73,10,30cm,large,small,Left,done,B,648,1823,2471,4294
794,74,10,30cm,small,small,Left,done,C,485,2023,2508,4531
795,75,10,30cm,large,large,Left,done,D,451,1219,1670,2889
796,76,10,30cm,small,large,Left,done,A,490,1220,1710,2930
797,77,10,30cm,large,small,Left,done,B,407,1620,2027,3647
798,78,10,30cm,small,small,Left,done,C,452,1417,1869,3286
799,79,10,30cm,large,large,Left,done,D,491,2026,2517,4543
800,80,10,30cm,small,large,Left,done,A,559,1218,1777,2995
801,1,11,30cm,small,large,Right,done,A,816,2024,2840,4864
802,2,11,30cm,large,small,Right,done,B,749,1621,2370,3991
803,3,11,30cm,small,small,Right,done,C,873,1419,2292,3711
804,4,11,30cm,large,large,Right,done,D,659,1621,2280,3901
805,5,11,30cm,small,large,Right,done,A,585,1221,1806,3027
806,6,11,30cm,large,small,Right,done,B,639,1620,2259,3879
807,7,11,30cm,small,small,Right,done,C,575,1222,1797,3019
808,8,11,30cm,large,large,Right,done,D,661,2431,3092,5523
809,9,11,30cm,small,large,Right,done,A,664,1419,2083,3502
810,10,11,30cm,large,small,Right,done,B,756,1224,1980,3204
811,11,11,30cm,large,small,Right,done,B,716,1829,2545,4374
812,12,11,30cm,small,small,Right,done,C,975,2834,3809,6643
813,13,11,30cm,large,large,Right,done,D,972,3237,4209,7446
814,14,11,30cm,small,large,Right,done,A,607,1832,2439,4271
815,15,11,30cm,large,small,Right,done,B,529,1824,2353,4177
816,16,11,30cm,small,small,Right,done,C,547,2430,2977,5407
817,17,11,30cm,large,small,Right,done,D,734,1419,2153,3572
818,18,11,30cm,small,large,Right,done,A,671,1620,2291,3911
819,19,11,30cm,large,small,Right,done,B,668,1621,2289,3910
820,20,11,30cm,small,small,Right,done,C,815,1224,2039,3263
821,21,11,30cm,small,small,Right,done,C,610,1418,2028,3446
822,22,11,30cm,large,large,Right,done,D,791,2231,3022,5253
823,23,11,30cm,small,large,Right,done,A,631,1218,1849,3067
824,24,11,30cm,large,small,Right,done,B,630,1620,2250,3870
825,25,11,30cm,small,small,Right,done,C,708,1620,2328,3948
826,26,11,30cm,large,large,Right,done,D,696,2026,2722,4748
827,27,11,30cm,small,large,Right,done,A,648,1620,2268,3888
828,28,11,30cm,large,small,Right,done,B,669,1419,2088,3507
829,29,11,30cm,small,small,Right,done,C,696,1419,2115,3534
830,30,11,30cm,large,large,Right,done,D,715,1419,2134,3553
831,31,11,30cm,large,large,Right,done,D,646,1624,2270,3894
832,32,11,30cm,small,large,Right,done,A,640,2428,3068,5496
833,33,11,30cm,large,small,Right,done,B,610,1219,1829,3048
834,34,11,30cm,small,small,Right,done,C,691,1424,2115,3539
835,35,11,30cm,large,large,Right,done,D,671,1830,2501,4331
836,36,11,30cm,small,large,Right,done,A,634,1622,2256,3878
837,37,11,30cm,large,small,Right,done,B,633,2229,2862,5091
838,38,11,30cm,small,small,Right,done,C,708,2029,2737,4766
839,39,11,30cm,large,large,Right,done,D,1044,2628,3672,6300
840,40,11,30cm,small,large,Right,done,A,793,2226,3019,5245
841,41,11,30cm,small,large,Left,done,A,917,1823,2740,4563
842,42,11,30cm,large,small,Left,done,B,708,2227,2935,5162
843,43,11,30cm,small,small,Left,done,C,767,3848,4615,8463
844,44,11,30cm,large,large,Left,done,D,724,2227,2951,5178
845,45,11,30cm,small,large,Left,done,A,798,1828,2626,4454
846,46,11,30cm,large,small,Left,done,B,605,1218,1823,3041
847,47,11,30cm,small,small,Left,done,C,695,1626,2321,3947
848,48,11,30cm,large,large,Left,done,D,729,2835,3564,6399
849,49,11,30cm,small,large,Left,done,A,1003,2630,3633,6263
850,50,11,30cm,large,small,Left,done,B,769,2632,3401,6033
851,51,11,30cm,large,small,Left,done,B,657,1826,2483,4309
852,52,11,30cm,small,small,Left,done,C,780,1620,2400,4020
853,53,11,30cm,large,large,Left,done,D,661,2224,2885,5109
854,54,11,30cm,small,large,Left,done,A,781,1422,2203,3625
855,55,11,30cm,large,small,Left,done,B,693,1620,2313,3933
856,56,11,30cm,small,small,Left,done,C,520,2023,2543,4566
857,57,11,30cm,large,small,Left,done,D,648,1418,2066,3484
858,58,11,30cm,small,large,Left,done,A,715,2226,2941,5167
859,59,11,30cm,large,small,Left,done,B,723,1623,2346,3969
860,60,11,30cm,small,small,Left,done,C,655,2023,2678,4701
861,61,11,30cm,small,small,Left,done,C,707,1826,2533,4359
862,62,11,30cm,large,large,Left,done,D,915,2028,2943,4971
863,63,11,30cm,small,large,Left,done,A,784,2231,3015,5246
864,64,11,30cm,large,small,Left,done,B,637,2021,2658,4679
865,65,11,30cm,small,small,Left,done,C,668,3037,3705,6742
866,66,11,30cm,large,large,Left,done,D,680,2026,2706,4732
867,67,11,30cm,small,large,Left,done,A,702,1824,2526,4350
868,68,11,30cm,large,small,Left,done,B,669,1622,2291,3913
869,69,11,30cm,small,small,Left,done,C,746,1825,2571,4396
870,70,11,30cm,large,large,Left,done,D,715,1824,2539,4363
871,71,11,30cm,large,large,Left,done,D,716,2023,2739,4762
872,72,11,30cm,small,large,Left,done,A,715,1418,2133,3551
873,73,11,30cm,large,small,Left,done,B,817,1827,2644,4471
874,74,11,30cm,small,small,Left,done,C,722,2635,3357,5992
875,75,11,30cm,large,large,Left,done,D,1083,2427,3510,5937
876,76,11,30cm,small,large,Left,done,A,692,1622,2314,3936
877,77,11,30cm,large,small,Left,done,B,799,2028,2827,4855
878,78,11,30cm,small,small,Left,done,C,677,3441,4118,7559
879,79,11,30cm,large,large,Left,done,D,734,1419,2153,3572
880,80,11,30cm,small,large,Left,done,A,618,1621,2239,3860
881,1,12,30cm,small,large,Right,done,A,1017,2632,3649,6281
882,2,12,30cm,large,small,Right,done,B,522,1420,1942,3362
883,3,12,30cm,small,small,Right,done,C,458,1216,1674,2890
884,4,12,30cm,large,large,Right,done,D,769,1418,2187,3605
885,5,12,30cm,small,large,Right,done,A,541,1016,1557,2573
886,6,12,30cm,large,small,Right,done,B,497,1015,1512,2527
887,7,12,30cm,small,small,Right,done,C,833,1626,2459,4085
888,8,12,30cm,large,large,Right,done,D,779,1622,2401,4023
889,9,12,30cm,small,large,Right,done,A,462,1216,1678,2894
890,10,12,30cm,large,small,Right,done,B,625,1626,2251,3877
891,11,12,30cm,large,small,Right,done,B,763,1216,1979,3195
892,12,12,30cm,small,small,Right,done,C,805,1824,2629,4453
893,13,12,30cm,large,large,Right,done,D,923,1827,2750,4577
894,14,12,30cm,small,large,Right,done,A,769,1421,2190,3611
895,15,12,30cm,large,small,Right,done,B,507,1831,2338,4169
896,16,12,30cm,small,small,Right,done,C,905,1623,2528,4151
897,17,12,30cm,large,small,Right,done,D,824,1621,2445,4066
898,18,12,30cm,small,large,Right,done,A,1201,1420,2621,4041
899,19,12,30cm,large,small,Right,done,B,571,1620,2191,3811
900,20,12,30cm,small,small,Right,done,C,747,1422,2169,3591
901,21,12,30cm,small,small,Right,done,C,615,1418,2033,3451
902,22,12,30cm,large,large,Right,done,D,841,2226,3067,5293
903,23,12,30cm,small,large,Right,done,A,645,1220,1865,3085
904,24,12,30cm,large,small,Right,done,B,548,1217,1765,2982
905,25,12,30cm,small,small,Right,done,C,589,1218,1807,3025
906,26,12,30cm,large,large,Right,done,D,536,1824,2360,4184
907,27,12,30cm,small,large,Right,done,A,600,1417,2017,3434
908,28,12,30cm,large,small,Right,done,B,1248,1622,2870,4492
909,29,12,30cm,small,small,Right,done,C,564,1420,1984,3404
910,30,12,30cm,large,large,Right,done,D,610,2026,2636,4662
911,31,12,30cm,large,large,Right,done,D,644,1420,2064,3484
912,32,12,30cm,small,large,Right,done,A,744,1216,1960,3176
913,33,12,30cm,large,small,Right,done,B,635,1821,2456,4277
914,34,12,30cm,small,small,Right,done,C,617,1621,2238,3859
915,35,12,30cm,large,large,Right,done,D,760,1624,2384,4008
916,36,12,30cm,small,large,Right,done,A,1156,2024,3180,5204
917,37,12,30cm,large,small,Right,done,B,785,1216,2001,3217
918,38,12,30cm,small,small,Right,done,C,607,3639,4246,7885
919,39,12,30cm,large,large,Right,done,D,806,2831,3637,6468
920,40,12,30cm,small,large,Right,done,A,976,2630,3606,6236
921,41,12,30cm,small,large,Left,done,A,596,2024,2620,4644
922,42,12,30cm,large,small,Left,done,B,871,1632,2503,4135
923,43,12,30cm,small,small,Left,done,C,664,2429,3093,5522
924,44,12,30cm,large,large,Left,done,D,632,2635,3267,5902
925,45,12,30cm,small,large,Left,done,A,1427,1624,3051,4675
926,46,12,30cm,large,small,Left,done,B,737,1222,1959,3181
927,47,12,30cm,small,small,Left,done,C,1023,2830,3853,6683
928,48,12,30cm,large,large,Left,done,D,1057,2829,3886,6715
929,49,12,30cm,small,large,Left,done,A,826,2027,2853,4880
930,50,12,30cm,large,small,Left,done,B,1467,2228,3695,5923
931,51,12,30cm,large,small,Left,done,B,821,1620,2441,4061
932,52,12,30cm,small,small,Left,done,C,763,2034,2797,4831
933,53,12,30cm,large,large,Left,done,D,978,2031,3009,5040
934,54,12,30cm,small,large,Left,done,A,902,3642,4544,8186
935,55,12,30cm,large,small,Left,done,B,731,2229,2960,5189
936,56,12,30cm,small,small,Left,done,C,851,2432,3283,5715
937,57,12,30cm,large,small,Left,done,D,885,1826,2711,4537
938,58,12,30cm,small,large,Left,done,A,1073,1626,2699,4325
939,59,12,30cm,large,small,Left,done,B,1308,2430,3738,6168
940,60,12,30cm,small,small,Left,done,C,810,2644,3454,6098
941,61,12,30cm,small,small,Left,done,C,530,2024,2554,4578
942,62,12,30cm,large,large,Left,done,D,737,1418,2155,3573
943,63,12,30cm,small,large,Left,done,A,697,2431,3128,5559
944,64,12,30cm,large,small,Left,done,B,1017,1628,2645,4273
945,65,12,30cm,small,small,Left,done,C,1181,3639,4820,8459
946,66,12,30cm,large,large,Left,done,D,790,2232,3022,5254
947,67,12,30cm,small,large,Left,done,A,902,2437,3339,5776
948,68,12,30cm,large,small,Left,done,B,409,1422,1831,3253
949,69,12,30cm,small,small,Left,done,C,670,4249,4919,9168
950,70,12,30cm,large,large,Left,done,D,843,2229,3072,5301
951,71,12,30cm,large,large,Left,done,D,1057,2437,3494,5931
952,72,12,30cm,small,large,Left,done,A,643,2431,3074,5505
953,73,12,30cm,large,small,Left,done,B,510,2632,3142,5774
954,74,12,30cm,small,small,Left,done,C,998,2231,3229,5460
955,75,12,30cm,large,large,Left,done,D,1102,2833,3935,6768
956,76,12,30cm,small,large,Left,done,A,808,1821,2629,4450
957,77,12,30cm,large,small,Left,done,B,768,1820,2588,4408
958,78,12,30cm,small,small,Left,done,C,624,1619,2243,3862
959,79,12,30cm,large,large,Left,done,D,840,1825,2665,4490
960,80,12,30cm,small,large,Left,done,A,751,1422,2173,3595
961,1,13,30cm,small,large,Right,done,A,649,1421,2070,3491
962,2,13,30cm,large,small,Right,done,B,672,1419,2091,3510
963,3,13,30cm,small,small,Right,done,C,766,1420,2186,3606
964,4,13,30cm,large,large,Right,done,D,847,1423,2270,3693
965,5,13,30cm,small,large,Right,done,A,833,1618,2451,4069
966,6,13,30cm,large,small,Right,done,B,1224,1417,2641,4058
967,7,13,30cm,small,small,Right,done,C,748,1620,2368,3988
968,8,13,30cm,large,large,Right,done,D,701,1621,2322,3943
969,9,13,30cm,small,large,Right,done,A,672,1422,2094,3516
970,10,13,30cm,large,small,Right,done,B,627,1619,2246,3865
971,11,13,30cm,large,small,Right,done,B,763,1419,2182,3601
972,12,13,30cm,small,small,Right,done,C,677,1622,2299,3921
973,13,13,30cm,large,large,Right,done,D,636,1622,2258,3880
974,14,13,30cm,small,large,Right,done,A,742,1420,2162,3582
975,15,13,30cm,large,small,Right,done,B,715,1428,2143,3571
976,16,13,30cm,small,small,Right,done,C,285,2229,2514,4743
977,17,13,30cm,large,small,Right,done,D,608,1220,1828,3048
978,18,13,30cm,small,large,Right,done,A,645,2024,2669,4693
979,19,13,30cm,large,small,Right,done,B,774,2024,2798,4822
980,20,13,30cm,small,small,Right,done,C,723,1824,2547,4371
981,21,13,30cm,small,small,Right,done,C,699,1625,2324,3949
982,22,13,30cm,large,large,Right,done,D,740,1621,2361,3982
983,23,13,30cm,small,large,Right,done,A,692,1822,2514,4336
984,24,13,30cm,large,small,Right,done,B,680,1824,2504,4328
985,25,13,30cm,small,small,Right,done,C,750,2030,2780,4810
986,26,13,30cm,large,large,Right,done,D,755,1418,2173,3591
987,27,13,30cm,small,large,Right,done,A,790,1623,2413,4036
988,28,13,30cm,large,small,Right,done,B,833,1621,2454,4075
989,29,13,30cm,small,small,Right,done,C,636,1826,2462,4288
990,30,13,30cm,large,large,Right,done,D,735,1824,2559,4383
991,31,13,30cm,large,large,Right,done,D,974,1622,2596,4218
992,32,13,30cm,small,large,Right,done,A,1544,1822,3366,5188
993,33,13,30cm,large,small,Right,done,B,774,1825,2599,4424
994,34,13,30cm,small,small,Right,done,C,879,2430,3309,5739
995,35,13,30cm,large,large,Right,done,D,641,2025,2666,4691
996,36,13,30cm,small,large,Right,done,A,1221,2440,3661,6101
997,37,13,30cm,large,small,Right,done,B,860,2022,2882,4904
998,38,13,30cm,small,small,Right,done,C,963,1418,2381,3799
999,39,13,30cm,large,large,Right,done,D,912,2226,3138,5364
1000,40,13,30cm,small,large,Right,done,A,990,2436,3426,5862
1001,41,13,30cm,small,large,Left,done,A,1008,2033,3041,5074
1002,42,13,30cm,large,small,Left,done,B,992,2225,3217,5442
1003,43,13,30cm,small,small,Left,done,C,946,2229,3175,5404
1004,44,13,30cm,large,large,Left,done,D,879,1631,2510,4141
1005,45,13,30cm,small,large,Left,done,A,1074,2227,3301,5528
1006,46,13,30cm,large,small,Left,done,B,691,1620,2311,3931
1007,47,13,30cm,small,small,Left,done,C,1166,1822,2988,4810
1008,48,13,30cm,large,large,Left,done,D,2039,2431,4470,6901
1009,49,13,30cm,small,large,Left,done,A,939,2025,2964,4989
1010,50,13,30cm,large,small,Left,done,B,978,2224,3202,5426
1011,51,13,30cm,large,small,Left,done,B,726,2427,3153,5580
1012,52,13,30cm,small,small,Left,done,C,954,2228,3182,5410
1013,53,13,30cm,large,large,Left,done,D,745,1827,2572,4399
1014,54,13,30cm,small,large,Left,done,A,833,2028,2861,4889
1015,55,13,30cm,large,small,Left,done,B,625,2028,2653,4681
1016,56,13,30cm,small,small,Left,done,C,683,2634,3317,5951
1017,57,13,30cm,large,small,Left,done,D,688,1621,2309,3930
1018,58,13,30cm,small,large,Left,done,A,770,2227,2997,5224
1019,59,13,30cm,large,small,Left,done,B,915,2030,2945,4975
1020,60,13,30cm,small,small,Left,done,C,757,2233,2990,5223
1021,61,13,30cm,small,small,Left,done,C,754,2229,2983,5212
1022,62,13,30cm,large,large,Left,done,D,749,2226,2975,5201
1023,63,13,30cm,small,large,Left,done,A,747,2428,3175,5603
1024,64,13,30cm,large,small,Left,done,B,793,1821,2614,4435
1025,65,13,30cm,small,small,Left,done,C,1286,2030,3316,5346
1026,66,13,30cm,large,large,Left,done,D,1127,2230,3357,5587
1027,67,13,30cm,small,large,Left,done,A,1014,2024,3038,5062
1028,68,13,30cm,large,small,Left,done,B,667,1420,2087,3507
1029,69,13,30cm,small,small,Left,done,C,698,1823,2521,4344
1030,70,13,30cm,large,large,Left,done,D,694,2027,2721,4748
1031,71,13,30cm,large,large,Left,done,D,779,1825,2604,4429
1032,72,13,30cm,small,large,Left,done,A,1088,2430,3518,5948
1033,73,13,30cm,large,small,Left,done,B,1332,2023,3355,5378
1034,74,13,30cm,small,small,Left,done,C,753,2030,2783,4813
1035,75,13,30cm,large,large,Left,done,D,975,1821,2796,4617
1036,76,13,30cm,small,large,Left,done,A,867,1624,2491,4115
1037,77,13,30cm,large,small,Left,done,B,1101,2429,3530,5959
1038,78,13,30cm,small,small,Left,done,C,854,4246,5100,9346
1039,79,13,30cm,large,large,Left,done,D,636,2432,3068,5500
1040,80,13,30cm,small,large,Left,done,A,955,2226,3181,5407
1041,1,14,30cm,small,large,Right,done,A,2231,2025,4256,6281
1042,2,14,30cm,large,small,Right,done,B,1796,2430,4226,6656
1043,3,14,30cm,small,small,Right,done,C,1259,2342,3601,5943
1044,4,14,30cm,large,large,Right,done,D,1348,2831,4179,7010
1045,5,14,30cm,small,large,Right,done,A,1088,1730,2818,4548
1046,6,14,30cm,large,small,Right,done,B,1023,2227,3250,5477
1047,7,14,30cm,small,small,Right,done,C,1165,2024,3189,5213
1048,8,14,30cm,large,large,Right,done,D,1396,2029,3425,5454
1049,9,14,30cm,small,large,Right,done,A,1555,1627,3182,4809
1050,10,14,30cm,large,small,Right,done,B,1075,1824,2899,4723
1051,11,14,30cm,large,small,Right,done,B,996,1828,2824,4652
1052,12,14,30cm,small,small,Right,done,C,1195,2025,3220,5245
1053,13,14,30cm,large,large,Right,done,D,2025,2235,4260,6495
1054,14,14,30cm,small,large,Right,done,A,1103,1421,2524,3945
1055,15,14,30cm,large,small,Right,done,B,796,1823,2619,4442
1056,16,14,30cm,small,small,Right,done,C,706,1823,2529,4352
1057,17,14,30cm,large,small,Right,done,D,1100,3442,4542,7984
1058,18,14,30cm,small,large,Right,done,A,923,1421,2344,3765
1059,19,14,30cm,large,small,Right,done,B,1136,1420,2556,3976
1060,20,14,30cm,small,small,Right,done,C,809,1826,2635,4461
1061,21,14,30cm,small,small,Right,done,C,1009,2028,3037,5065
1062,22,14,30cm,large,large,Right,done,D,899,1823,2722,4545
1063,23,14,30cm,small,large,Right,done,A,859,1621,2480,4101
1064,24,14,30cm,large,small,Right,done,B,1601,1829,3430,5259
1065,25,14,30cm,small,small,Right,done,C,929,1626,2555,4181
1066,26,14,30cm,large,large,Right,done,D,1085,1620,2705,4325
1067,27,14,30cm,small,large,Right,done,A,1024,1621,2645,4266
1068,28,14,30cm,large,small,Right,done,B,898,2431,3329,5760
1069,29,14,30cm,small,small,Right,done,C,1017,1420,2437,3857
1070,30,14,30cm,large,large,Right,done,D,1010,1634,2644,4278
1071,31,14,30cm,large,large,Right,done,D,854,1627,2481,4108
1072,32,14,30cm,small,large,Right,done,A,1098,1623,2721,4344
1073,33,14,30cm,large,small,Right,done,B,855,1623,2478,4101
1074,34,14,30cm,small,small,Right,done,C,916,1420,2336,3756
1075,35,14,30cm,large,large,Right,done,D,1191,2225,3416,5641
1076,36,14,30cm,small,large,Right,done,A,1596,1624,3220,4844
1077,37,14,30cm,large,small,Right,done,B,1095,1822,2917,4739
1078,38,14,30cm,small,small,Right,done,C,992,2027,3019,5046
1079,39,14,30cm,large,large,Right,done,D,1079,2427,3506,5933
1080,40,14,30cm,small,large,Right,done,A,1235,1823,3058,4881
1081,41,14,30cm,small,large,Left,done,A,915,2230,3145,5375
1082,42,14,30cm,large,small,Left,done,B,1289,1619,2908,4527
1083,43,14,30cm,small,small,Left,done,C,962,2428,3390,5818
1084,44,14,30cm,large,large,Left,done,D,917,2023,2940,4963
1085,45,14,30cm,small,large,Left,done,A,920,2023,2943,4966
1086,46,14,30cm,large,small,Left,done,B,1137,2226,3363,5589
1087,47,14,30cm,small,small,Left,done,C,1130,2027,3157,5184
1088,48,14,30cm,large,large,Left,done,D,1206,2023,3229,5252
1089,49,14,30cm,small,large,Left,done,A,1204,2029,3233,5262
1090,50,14,30cm,large,small,Left,done,B,922,2228,3150,5378
1091,51,14,30cm,large,small,Left,done,B,842,2032,2874,4906
1092,52,14,30cm,small,small,Left,done,C,1133,2438,3571,6009
1093,53,14,30cm,large,large,Left,done,D,946,2225,3171,5396
1094,54,14,30cm,small,large,Left,done,A,1067,2029,3096,5125
1095,55,14,30cm,large,small,Left,done,B,1147,1627,2774,4401
1096,56,14,30cm,small,small,Left,done,C,1188,1826,3014,4840
1097,57,14,30cm,large,small,Left,done,D,1630,1623,3253,4876
1098,58,14,30cm,small,large,Left,done,A,854,2229,3083,5312
1099,59,14,30cm,large,small,Left,done,B,1697,1822,3519,5341
1100,60,14,30cm,small,small,Left,done,C,1021,1707,2728,4435
1101,61,14,30cm,small,small,Left,done,C,946,1827,2773,4600
1102,62,14,30cm,large,large,Left,done,D,781,1622,2403,4025
1103,63,14,30cm,small,large,Left,done,A,1341,1830,3171,5001
1104,64,14,30cm,large,small,Left,done,B,857,2026,2883,4909
1105,65,14,30cm,small,small,Left,done,C,1017,2025,3042,5067
1106,66,14,30cm,large,large,Left,done,D,744,1824,2568,4392
1107,67,14,30cm,small,large,Left,done,A,865,1822,2687,4509
1108,68,14,30cm,large,small,Left,done,B,1540,1823,3363,5186
1109,69,14,30cm,small,small,Left,done,C,777,1826,2603,4429
1110,70,14,30cm,large,large,Left,done,D,987,2231,3218,5449
1111,71,14,30cm,large,large,Left,done,D,900,2027,2927,4954
1112,72,14,30cm,small,large,Left,done,A,793,2228,3021,5249
1113,73,14,30cm,large,small,Left,done,B,1091,2023,3114,5137
1114,74,14,30cm,small,small,Left,done,C,873,2229,3102,5331
1115,75,14,30cm,large,large,Left,done,D,1116,2632,3748,6380
1116,76,14,30cm,small,large,Left,done,A,953,2228,3181,5409
1117,77,14,30cm,large,small,Left,done,B,843,1824,2667,4491
1118,78,14,30cm,small,small,Left,done,C,812,2023,2835,4858
1119,79,14,30cm,large,large,Left,done,D,1585,2025,3610,5635
1120,80,14,30cm,small,large,Left,done,A,1221,2024,3245,5269
1121,1,15,30cm,small,large,Right,done,A,811,2229,3040,5269
1122,2,15,30cm,large,small,Right,done,B,732,1824,2556,4380
1123,3,15,30cm,small,small,Right,done,C,614,1621,2235,3856
1124,4,15,30cm,large,large,Right,done,D,659,1624,2283,3907
1125,5,15,30cm,small,large,Right,done,A,587,1218,1805,3023
1126,6,15,30cm,large,small,Right,done,B,652,1418,2070,3488
1127,7,15,30cm,small,small,Right,done,C,663,1420,2083,3503
1128,8,15,30cm,large,large,Right,done,D,705,1622,2327,3949
1129,9,15,30cm,small,large,Right,done,A,690,1621,2311,3932
1130,10,15,30cm,large,small,Right,done,B,691,5660,6351,12011
1131,11,15,30cm,large,small,Right,done,B,642,2022,2664,4686
1132,12,15,30cm,small,small,Right,done,C,758,1222,1980,3202
1133,13,15,30cm,large,large,Right,done,D,759,2431,3190,5621
1134,14,15,30cm,small,large,Right,done,A,755,1623,2378,4001
1135,15,15,30cm,large,small,Right,done,B,577,1216,1793,3009
1136,16,15,30cm,small,small,Right,done,C,649,1627,2276,3903
1137,17,15,30cm,large,small,Right,done,D,888,1218,2106,3324
1138,18,15,30cm,small,large,Right,done,A,603,4246,4849,9095
1139,19,15,30cm,large,small,Right,done,B,845,1619,2464,4083
1140,20,15,30cm,small,small,Right,done,C,1046,1831,2877,4708
1141,21,15,30cm,small,small,Right,done,C,609,1623,2232,3855
1142,22,15,30cm,large,large,Right,done,D,901,2027,2928,4955
1143,23,15,30cm,small,large,Right,done,A,829,1824,2653,4477
1144,24,15,30cm,large,small,Right,done,B,740,2022,2762,4784
1145,25,15,30cm,small,small,Right,done,C,660,1418,2078,3496
1146,26,15,30cm,large,large,Right,done,D,660,1421,2081,3502
1147,27,15,30cm,small,large,Right,done,A,705,1424,2129,3553
1148,28,15,30cm,large,small,Right,done,B,809,1621,2430,4051
1149,29,15,30cm,small,small,Right,done,C,724,1626,2350,3976
1150,30,15,30cm,large,large,Right,done,D,775,1421,2196,3617
1151,31,15,30cm,large,large,Right,done,D,665,1425,2090,3515
1152,32,15,30cm,small,large,Right,done,A,717,2024,2741,4765
1153,33,15,30cm,large,small,Right,done,B,615,1421,2036,3457
1154,34,15,30cm,small,small,Right,done,C,825,1624,2449,4073
1155,35,15,30cm,large,large,Right,done,D,863,1620,2483,4103
1156,36,15,30cm,small,large,Right,done,A,1378,2025,3403,5428
1157,37,15,30cm,large,small,Right,done,B,961,2028,2989,5017
1158,38,15,30cm,small,small,Right,done,C,681,1620,2301,3921
1159,39,15,30cm,large,large,Right,done,D,762,2028,2790,4818
1160,40,15,30cm,small,large,Right,done,A,644,2025,2669,4694
1161,41,15,30cm,small,large,Left,done,A,820,1626,2446,4072
1162,42,15,30cm,large,small,Left,done,B,868,2029,2897,4926
1163,43,15,30cm,small,small,Left,done,C,862,2023,2885,4908
1164,44,15,30cm,large,large,Left,done,D,707,1824,2531,4355
1165,45,15,30cm,small,large,Left,done,A,723,2032,2755,4787
1166,46,15,30cm,large,small,Left,done,B,771,1626,2397,4023
1167,47,15,30cm,small,small,Left,done,C,615,1827,2442,4269
1168,48,15,30cm,large,large,Left,done,D,764,5054,5818,10872
1169,49,15,30cm,small,large,Left,done,A,1257,2431,3688,6119
1170,50,15,30cm,large,small,Left,done,B,752,2228,2980,5208
1171,51,15,30cm,large,small,Left,done,B,540,2229,2769,4998
1172,52,15,30cm,small,small,Left,done,C,1134,2430,3564,5994
1173,53,15,30cm,large,large,Left,done,D,718,2225,2943,5168
1174,54,15,30cm,small,large,Left,done,A,676,1821,2497,4318
1175,55,15,30cm,large,small,Left,done,B,535,1628,2163,3791
1176,56,15,30cm,small,small,Left,done,C,642,1831,2473,4304
1177,57,15,30cm,large,small,Left,done,D,827,2428,3255,5683
1178,58,15,30cm,small,large,Left,done,A,747,1823,2570,4393
1179,59,15,30cm,large,small,Left,done,B,692,1827,2519,4346
1180,60,15,30cm,small,small,Left,done,C,621,1419,2040,3459
1181,61,15,30cm,small,small,Left,done,C,810,2229,3039,5268
1182,62,15,30cm,large,large,Left,done,D,534,2226,2760,4986
